Acquisition date,year,Google company,Business,Category,Country list,Price,Used as or integrated with
"November 28, 2012",2012,Incentive Targeting Inc.,Digital coupons,Offers,USA,,Google Offers
"November 30, 2012",2012,BufferBox,Package delivery,Mobile,CAN,"$17,000,000","Google Shopping, Android"
"February 6, 2013",2013,Channel Intelligence,Product ecommerce,Offers,USA,"$125,000,000",Google Shopping
"March 12, 2013",2013,DNNresearch Inc.,Deep Neural Networks,AI,CAN,,"Google, X"
"March 15, 2013",2013,Talaria Technologies,Cloud computing,Cloud,USA,,Google Cloud
"April 12, 2013",2013,Behavio,Social Prediction,AI,USA,,Google Now
"April 23, 2013",2013,Wavii,Natural Language Processing,AI,USA,"$30,000,000",Google Knowledge Graph
"May 23, 2013",2013,Makani Power,Airborne wind turbines,AI,USA,,X
"June 11, 2013",2013,Waze,GPS navigation software,Maps,ISR,"$966,000,000",Google Maps
"September 16, 2013",2013,Bump,Mobile software,Mobile,USA,,Google Photos
"October 2, 2013",2013,Flutter,Gesture recognition technology,AI,USA,"$40,000,000","Google, Android, X"
"October 22, 2013",2013,FlexyCore,DroidBooster App for Android,Mobile,FRA,"$23,000,000",Android
"December 2, 2013",2013,"SCHAFT, Inc.","Robotics, humanoid robots",AI,JPN,,X
"December 3, 2013",2013,Industrial Perception,"Robotic arms, computer vision",AI,USA,,X
"December 4, 2013",2013,Redwood Robotics,Robotic arms,AI,USA,,X
"December 5, 2013",2013,Meka Robotics,Robots,AI,USA,,X
"December 6, 2013",2013,Holomni,Robotic wheels,AI,USA,,X
"December 7, 2013",2013,Bot & Dolly,Robotic cameras,AI,USA,,X
"December 8, 2013",2013,Autofuss,Ads and Design,AI,USA,,X
"December 10, 2013",2013,Boston Dynamics,Robotics,AI,USA,,X
"January 4, 2014",2014,Bitspin,Timely App for Android,Mobile,CHE,,Android
"January 13, 2014",2014,Nest Labs,Home automation,AI,USA,"$3,200,000,000",Nest Labs
"January 15, 2014",2014,Impermium,Internet security,Security,USA,,Project Zero (Google)
"January 26, 2014",2014,DeepMind Technologies,Artificial intelligence,AI,UK,"$625,000,000",Google DeepMind
"February 16, 2014",2014,SlickLogin,Internet Security,Security,ISR,,Project Zero (Google)
"February 21, 2014",2014,spider.io,Anti-click fraud,AI,UK,,"DoubleClick, Adsense"
"March 12, 2014",2014,GreenThrottle,Gadgets,Mobile,USA,,Android
"April 14, 2014",2014,Titan Aerospace,High-altitude UAVs,Misc,USA,,Project Loon
