Acquisition date,Google company,Business,Category,Country list,Price,Used as or integrated with,Refs
"March 16, 2012","Milk, Inc",Social networking service,Social,USA,—,Google+,[134]
"April 2, 2012",TxVia,Online Payment,,USA,—,"Google Wallet, Google Checkout",[135]
"June 4, 2012",Meebo,Instant Messaging,Communication,USA,"$100,000,000",Google Hangouts,[136]
"June 5, 2012",Quickoffice,Productivity Suite,Communication,USA,—,Google Docs,[137]
"July 20, 2012",Sparrow,Mobile apps,Communication,FRA,"$25,000,000",Gmail,[138][139][140]
2012,WIMM Labs,Android powered smartwatches,Mobile,USA,—,Android,[141]
"August 1, 2012",Wildfire Interactive,Social media marketing,Publishing,USA,"$450,000,000","Google, Google+",[142]
"September 7, 2012",VirusTotal.com,Security,Security,ESP,—,,[143][144]
"September 17, 2012","Nik Software, Inc.",Photography,Mobile,USA,—,"Google, Android",[145][146][147]
"October 1, 2012",Viewdle,Facial recognition,Mobile,UKR,"$45,000,000",Android,[148][149]
"November 28, 2012",Incentive Targeting Inc.,Digital coupons,Offers,USA,—,Google Offers,[150][151]
"November 30, 2012",BufferBox,Package delivery,Mobile,CAN,"$17,000,000","Google Shopping, Android",[152][153]
"February 6, 2013",Channel Intelligence,Product ecommerce,Offers,USA,"$125,000,000",Google Shopping,[154]
"March 12, 2013",DNNresearch Inc.,Deep Neural Networks,AI,CAN,—,"Google, X",[155]
"March 15, 2013",Talaria Technologies,Cloud computing,Cloud,USA,—,Google Cloud,[156]
"April 12, 2013",Behavio,Social Prediction,AI,USA,—,Google Now,[157]
"April 23, 2013",Wavii,Natural Language Processing,AI,USA,"$30,000,000",Google Knowledge Graph,[158]
"May 23, 2013",Makani Power,Airborne wind turbines,AI,USA,—,X,[159]
"June 11, 2013",Waze,GPS navigation software,Maps,ISR,"$966,000,000",Google Maps,[7]
"September 16, 2013",Bump,Mobile software,Mobile,USA,—,Google Photos,[160]
"October 2, 2013",Flutter,Gesture recognition technology,AI,USA,"$40,000,000","Google, Android, X",[161]
"October 22, 2013",FlexyCore,DroidBooster App for Android,Mobile,FRA,"$23,000,000",Android,[162]
"December 2, 2013","SCHAFT, Inc.","Robotics, humanoid robots",AI,JPN,—,X,[163]
"December 3, 2013",Industrial Perception,"Robotic arms, computer vision",AI,USA,—,X,[163]
"December 4, 2013",Redwood Robotics,Robotic arms,AI,USA,—,X,[163]
"December 5, 2013",Meka Robotics,Robots,AI,USA,—,X,[163]
"December 6, 2013",Holomni,Robotic wheels,AI,USA,—,X,[163]
"December 7, 2013",Bot & Dolly,Robotic cameras,AI,USA,—,X,[163]
"December 8, 2013",Autofuss,Ads and Design,AI,USA,—,X,[163]
"December 10, 2013",Boston Dynamics,Robotics,AI,USA,—,X,[163][164]
"January 4, 2014",Bitspin,Timely App for Android,Mobile,CHE,—,Android,[165]
"January 13, 2014",Nest Labs,Home automation,AI,USA,"$3,200,000,000",Nest Labs,[166][167]
"January 15, 2014",Impermium,Internet security,Security,USA,—,Project Zero (Google),[168]
"January 26, 2014",DeepMind Technologies,Artificial intelligence,AI,UK,"$625,000,000",Google DeepMind,[169][170]
"February 16, 2014",SlickLogin,Internet Security,Security,ISR,—,Project Zero (Google),[171]
"February 21, 2014",spider.io,Anti-click fraud,AI,UK,—,"DoubleClick, Adsense",[172]
"March 12, 2014",GreenThrottle,Gadgets,Mobile,USA,—,Android,[173][174]
"April 14, 2014",Titan Aerospace,High-altitude UAVs,Misc,USA,—,Project Loon,[175][176][177]
"May 2, 2014",Rangespan,E-commerce,Offers,UK,—,Google Shopping,[178]
"May 6, 2014",Adometry,Online advertising attribution,Publishing,USA,—,Google Analytics AdSense,[179]
"May 7, 2014",Appetas,Restaurant website creation,,USA,—,Zagat,[180]
"May 7, 2014",Stackdriver,Cloud computing,Cloud,USA,—,Google Cloud Platform,[181]
"May 7, 2014",MyEnergy,Online energy usage monitoring,AI,USA,—,Nest Labs,[182]
"May 16, 2014",Quest Visual,Augmented reality,AI,USA,—,Google Translate,[183]
"May 19, 2014",Divide,Mobile device management,Mobile,USA,—,Android for Work,[184]
"June 10, 2014",Skybox Imaging,Satellite,Maps,USA,"$500,000,000","Google Maps, Project Loon",[185]
"June 19, 2014",mDialog,Online advertising,Publishing,CAN,—,DoubleClick,[186]
"June 19, 2014",Alpental Technologies,Wireless,Misc,USA,—,Google,[186]
"June 20, 2014",Dropcam,Home monitoring,AI,USA,"$555,000,000",Nest Labs,[187]
"June 25, 2014",Appurify,Automated application testing,Mobile,USA,—,Android,[188]
"July 1, 2014",Songza,Music streaming,Mobile,USA,—,"Google Play, Android TV",[189]
"July 23, 2014",drawElements,Graphics compatibility testing,Mobile,FIN,—,Android,[190]
"August 6, 2014",Emu,IM client,Communication,USA,—,"Google Hangouts, Google Now",[191]
"August 6, 2014",Director,Mobile video,Mobile,USA,—,"YouTube, Android",[192]
"August 17, 2014",Jetpac,"Artificial intelligence, image recognition",AI,USA,—,Picasa,[193]
"August 23, 2014",Gecko Design,Mechanical design,AI,USA,—,X,[194]
"August 26, 2014",Zync Render,Cloud-based visual effects software,Cloud,USA,—,Google Cloud Platform,[195]
"September 10, 2014",Lift Labs,Liftware,AI,USA,—,Verily,[196]
"September 11, 2014",Polar,Social polling,Social,USA,—,Google+,[197]
"October 21, 2014",Firebase,Data synchronization,Cloud,USA,—,Google Cloud Platform,[198]
"October 23, 2014",Dark Blue Labs,Artificial intelligence,AI,UK,£tens of millions,Google DeepMind,[199]
"October 24, 2014",Revolv,Home automation,AI,USA,—,Nest Labs,[200]
"November 19, 2014",RelativeWave,Mobile software prototyping,Mobile,USA,—,Android,[201]
"December 17, 2014",Vidmaker,Video editing,Youtube,USA,—,YouTube,[202]
"February 4, 2015",Launchpad Toys,Child-friendly apps,Youtube,USA,—,YouTube for Kids,[203][204]
"February 8, 2015",Odysee,Multimedia sharing and storage,Social,USA,—,Google+,[205]
"February 23, 2015",Softcard,Mobile payments,Mobile,USA,—,Android Pay,[206][207]
"February 24, 2015",Red Hot Labs,App advertising and discovery,Mobile,USA,—,Google Play,[208]
"April 16, 2015",Thrive Audio,Surround sound technology,AI,IRE,—,Google Cardboard,[209]
"April 16, 2015",Skillman & Hackett,Virtual reality software,AI,USA,—,Tilt Brush,[209]
"May 4, 2015",Timeful,Mobile software,Communication,USA,—,"Google Inbox, Google Calendar",[210]
"May 28, 2015",Pulse.io,Mobile app optimizer,Mobile,USA,---,Android,[211]
"July 21, 2015",Pixate,Mobile software prototyping,Mobile,USA,—,Android,[212]
"September 21, 2015",Oyster,E-book subscriptions,Mobile,USA,—,Google Play Books,[213]
"September 30, 2015",Jibe Mobile,Rich Communication Services,Mobile,USA,—,Android,[214]
"June 18, 2015",Agawi,Mobile application streaming,Mobile,USA,—,"Android, Google Play",[215]
"October 17, 2015",Digisfera,360-degree photography,Maps,POR,—,Street View,[216]
"November 11, 2015",Fly Labs,Video editing,Youtube,USA,—,Google Photos,[217]
"November 11, 2015",bebop,Cloud software,Cloud,USA,"$380,000,000",Google Cloud Platform,[218]
"February 12, 2016",BandPage,Artists platform,Youtube,USA,—,YouTube,[219]
"February 18, 2016",Pie,Enterprise communications,Mobile,SGP,—,Spaces (app),[220]
