Acquisition date,year,Google company,Business,Category,Country list,Price,Used as or integrated with
9/7/2012,2012,VirusTotal.com,Security,Security,ESP,,
9/17/2012,2012,"Nik Software, Inc.",Photography,Mobile,USA,,"Google, Android"
10/1/2012,2012,Viewdle,Facial recognition,Mobile,UKR,"$45,000,000",Android
11/28/2012,2012,Incentive Targeting Inc.,Digital coupons,Offers,USA,,Google Offers
11/30/2012,2012,BufferBox,Package delivery,Mobile,CAN,"$17,000,000","Google Shopping, Android"
2/6/2013,2013,Channel Intelligence,Product ecommerce,Offers,USA,"$125,000,000",Google Shopping
3/12/2013,2013,DNNresearch Inc.,Deep Neural Networks,AI,CAN,,"Google, X"
3/15/2013,2013,Talaria Technologies,Cloud computing,Cloud,USA,,Google Cloud
4/12/2013,2013,Behavio,Social Prediction,AI,USA,,Google Now
4/23/2013,2013,Wavii,Natural Language Processing,AI,USA,"$30,000,000",Google Knowledge Graph
5/23/2013,2013,Makani Power,Airborne wind turbines,AI,USA,,X
6/11/2013,2013,Waze,GPS navigation software,Maps,ISR,"$966,000,000",Google Maps
9/16/2013,2013,Bump,Mobile software,Mobile,USA,,Google Photos
10/2/2013,2013,Flutter,Gesture recognition technology,AI,USA,"$40,000,000","Google, Android, X"
10/22/2013,2013,FlexyCore,DroidBooster App for Android,Mobile,FRA,"$23,000,000",Android
12/2/2013,2013,"SCHAFT, Inc.","Robotics, humanoid robots",AI,JPN,,X
12/3/2013,2013,Industrial Perception,"Robotic arms, computer vision",AI,USA,,X
12/4/2013,2013,Redwood Robotics,Robotic arms,AI,USA,,X
12/5/2013,2013,Meka Robotics,Robots,AI,USA,,X
12/6/2013,2013,Holomni,Robotic wheels,AI,USA,,X
12/7/2013,2013,Bot & Dolly,Robotic cameras,AI,USA,,X
12/8/2013,2013,Autofuss,Ads and Design,AI,USA,,X
12/10/2013,2013,Boston Dynamics,Robotics,AI,USA,,X
1/4/2014,2014,Bitspin,Timely App for Android,Mobile,CHE,,Android
1/13/2014,2014,Nest Labs,Home automation,AI,USA,"$3,200,000,000",Nest Labs
1/15/2014,2014,Impermium,Internet security,Security,USA,,Project Zero (Google)
1/26/2014,2014,DeepMind Technologies,Artificial intelligence,AI,UK,"$625,000,000",Google DeepMind
2/16/2014,2014,SlickLogin,Internet Security,Security,ISR,,Project Zero (Google)
2/21/2014,2014,spider.io,Anti-click fraud,AI,UK,,"DoubleClick, Adsense"
3/12/2014,2014,GreenThrottle,Gadgets,Mobile,USA,,Android
4/14/2014,2014,Titan Aerospace,High-altitude UAVs,Misc,USA,,Project Loon
5/2/2014,2014,Rangespan,E-commerce,Offers,UK,,Google Shopping
5/6/2014,2014,Adometry,Online advertising attribution,Publishing,USA,,Google Analytics AdSense
5/7/2014,2014,Appetas,Restaurant website creation,Misc,USA,,Zagat
5/7/2014,2014,Stackdriver,Cloud computing,Cloud,USA,,Google Cloud Platform
5/7/2014,2014,MyEnergy,Online energy usage monitoring,AI,USA,,Nest Labs
5/16/2014,2014,Quest Visual,Augmented reality,AI,USA,,Google Translate
5/19/2014,2014,Divide,Mobile device management,Mobile,USA,,Android for Work
6/10/2014,2014,Skybox Imaging,Satellite,Maps,USA,"$500,000,000","Google Maps, Project Loon"
6/19/2014,2014,mDialog,Online advertising,Publishing,CAN,,DoubleClick
6/19/2014,2014,Alpental Technologies,Wireless,Misc,USA,,Google
6/20/2014,2014,Dropcam,Home monitoring,AI,USA,"$555,000,000",Nest Labs
6/25/2014,2014,Appurify,Automated application testing,Mobile,USA,,Android
7/1/2014,2014,Songza,Music streaming,Mobile,USA,,"Google Play, Android TV"
7/23/2014,2014,drawElements,Graphics compatibility testing,Mobile,FIN,,Android
8/6/2014,2014,Emu,IM client,Communication,USA,,"Google Hangouts, Google Now"
8/6/2014,2014,Director,Mobile video,Mobile,USA,,"YouTube, Android"
8/17/2014,2014,Jetpac,"Artificial intelligence, image recognition",AI,USA,,Picasa
8/23/2014,2014,Gecko Design,Mechanical design,AI,USA,,X
8/26/2014,2014,Zync Render,Cloud-based visual effects software,Cloud,USA,,Google Cloud Platform
9/10/2014,2014,Lift Labs,Liftware,AI,USA,,Verily
9/11/2014,2014,Polar,Social polling,Social,USA,,Google+
10/21/2014,2014,Firebase,Data synchronization,Cloud,USA,,Google Cloud Platform
10/23/2014,2014,Dark Blue Labs,Artificial intelligence,AI,UK,£tens of millions,Google DeepMind
10/24/2014,2014,Revolv,Home automation,AI,USA,,Nest Labs
11/19/2014,2014,RelativeWave,Mobile software prototyping,Mobile,USA,,Android
12/17/2014,2014,Vidmaker,Video editing,Youtube,USA,,YouTube
2/4/2015,2015,Launchpad Toys,Child-friendly apps,Youtube,USA,,YouTube for Kids
2/8/2015,2015,Odysee,Multimedia sharing and storage,Social,USA,,Google+
2/23/2015,2015,Softcard,Mobile payments,Mobile,USA,,Android Pay
2/24/2015,2015,Red Hot Labs,App advertising and discovery,Mobile,USA,,Google Play
4/16/2015,2015,Thrive Audio,Surround sound technology,AI,IRE,,Google Cardboard
4/16/2015,2015,Skillman & Hackett,Virtual reality software,AI,USA,,Tilt Brush
5/4/2015,2015,Timeful,Mobile software,Communication,USA,,"Google Inbox, Google Calendar"
5/28/2015,2015,Pulse.io,Mobile app optimizer,Mobile,USA,,Android
7/21/2015,2015,Pixate,Mobile software prototyping,Mobile,USA,,Android
9/21/2015,2015,Oyster,E-book subscriptions,Mobile,USA,,Google Play Books
9/30/2015,2015,Jibe Mobile,Rich Communication Services,Mobile,USA,,Android
6/18/2015,2015,Agawi,Mobile application streaming,Mobile,USA,,"Android, Google Play"
10/17/2015,2015,Digisfera,360-degree photography,Maps,POR,,Street View
11/11/2015,2015,Fly Labs,Video editing,Youtube,USA,,Google Photos
11/11/2015,2015,bebop,Cloud software,Cloud,USA,"$380,000,000",Google Cloud Platform
2/12/2016,2016,BandPage,Artists platform,Youtube,USA,,YouTube
2/18/2016,2016,Pie,Enterprise communications,Mobile,SGP,,Spaces (app)
5/2/2016,2016,Synergyse,Interactive tutorials,Communication,CAN,,Google Docs
6/22/2016,2016,Webpass,Internet service provider,Misc,USA,,Google Fiber
7/6/2016,2016,Moodstocks,Image recognition,AI,FRA,,Google Photos
7/8/2016,2016,Anvato,Cloud-based video services,Cloud,USA,,Google Cloud Platform
7/12/2016,2016,Kifi,Link management,Mobile,USA,,Spaces (app)
7/27/2016,2016,LaunchKit,Mobile tool maker,Mobile,USA,,Android
8/8/2016,2016,Orbitera,Cloud software,Cloud,USA,"$100,000,000",Google Cloud Platform
9/8/2016,2016,Apigee,API management and predictive analytics,Cloud,USA,"$625,000,000",Google Cloud Platform
9/15/2016,2016,Urban Engines,Location-based analytics,Maps,USA,,Google Maps
9/19/2016,2016,API.AI,Natural language processing,AI,USA,,-
10/11/2016,2016,FameBit,Branded content,Youtube,-,,YouTube
10/24/2016,2016,Eyefluence,"Eye tracking, virtual reality",AI,-,,-
12/13/2016,2016,Cronologics,Smartwatches,Mobile,USA,,Android Wear
1/5/2017,2017,Limes Audio,Voice communication,Communication,SWE,,"Google Duo, Google Hangouts"
1/19/2017,2017,Fabric,Crash Analytics,AI,USA,,"Google Developer Product Group, Firebase"
3/8/2017,2017,Kaggle,Data science,AI,USA,,Google Cloud Platform
